,index,product_id,category_id,subcategory_id,manufacturer_id,selling_price_per_unit
10339,6873717,2215024,1123024,1128288,1136352,0.0
10340,6875143,2484160,1123696,1133552,1159088,116.22
10341,6879440,1863456,1123360,1129968,1126720,109.24
10342,6882856,1787072,1122912,1127280,1177232,225.4
10343,6892681,2060688,1123024,1128176,1128176,160.86
10344,6899689,2484720,1123696,1133552,1159088,109.2
10345,6920575,2268896,1122912,1127280,1133776,0.0
10346,6921959,2758224,1123248,1128512,1128064,245.61
10347,6946176,1711248,1123136,1128624,1138592,192.66
10348,6948703,1912176,1123136,1128848,1141616,213.8
10349,6976051,1408288,1122800,1134896,1137584,93.06
10350,6976211,1711584,1123136,1129072,1138592,206.25
10351,7003711,2637040,1123136,1128624,1145200,87.6
10352,7019518,2210992,1123024,1128400,1136352,0.0
10353,7024650,2306528,1122464,1124144,1153600,490.0
10354,7079734,1480976,1123024,1127952,1132768,0.0
10355,7101018,2764608,1122464,1124144,1133440,0.0
10356,7140732,1467200,1123024,1127840,1130864,0.0
10357,7150277,2853648,1122800,1137696,1182944,85.0
10358,7153331,2852416,1122800,1137696,1182944,85.0
10359,7153862,2852640,1122800,1137696,1182944,85.0
10360,7161312,2851744,1122800,1137696,1182944,529.7
10361,7164210,1973888,1122688,1125600,1122240,131.34
10362,7168477,2235744,1123920,1126384,1151808,0.0
10363,7193073,3127600,1123136,1129072,1125600,120.0
10364,7202633,2848048,1122464,1124480,1150128,46.38
10365,7213028,2545872,1122352,1123584,1144416,399.0
10366,7228502,2524032,1123360,1130416,1173424,198.0
10367,7230712,2851856,1122800,1137696,1182944,1151.1
10368,7242826,2852080,1122800,1137696,1182944,529.7
10369,7273105,2828784,1122464,1124816,1182048,122.39
10370,7299573,3062640,1122464,1124592,1186080,75.43
10371,7314396,3070480,1122464,1124480,1186080,61.71
10372,7316610,1813168,1123024,1128176,1127840,126.04
10373,7317959,2132368,1123920,1134448,1148448,93.75
10374,7334169,2918048,1122688,1125600,1185408,119.25
